bed_type,count,hospital
Coronary Care Beds,8,New York-Presbyterian/Lower Manhattan Hospital
Intensive Care Beds,13,New York-Presbyterian/Lower Manhattan Hospital
Maternity Beds,24,New York-Presbyterian/Lower Manhattan Hospital
Medical / Surgical Beds,127,New York-Presbyterian/Lower Manhattan Hospital
Neonatal Intermediate Care Beds,8,New York-Presbyterian/Lower Manhattan Hospital
Total Beds,180,New York-Presbyterian/Lower Manhattan Hospital
Bone Marrow Transplant Beds,6,NYU Langone Hospitals
Intensive Care Beds,161,NYU Langone Hospitals
Maternity Beds,36,NYU Langone Hospitals
Medical / Surgical Beds,409,NYU Langone Hospitals
Neonatal Intensive Care Beds,7,NYU Langone Hospitals
Neonatal Intermediate Care Beds,18,NYU Langone Hospitals
Pediatric Beds,34,NYU Langone Hospitals
Pediatric ICU Beds,34,NYU Langone Hospitals
Physical Medicine and Rehabilitation Beds,117,NYU Langone Hospitals
Psychiatric Beds,22,NYU Langone Hospitals
Total Beds,844,NYU Langone Hospitals
Intensive Care Beds,16,Queens Hospital Center
Maternity Beds,20,Queens Hospital Center
Medical / Surgical Beds,165,Queens Hospital Center
Neonatal Intensive Care Beds,11,Queens Hospital Center
Neonatal Intermediate Care Beds,4,Queens Hospital Center
Psychiatric Beds,53,Queens Hospital Center
Total Beds,269,Queens Hospital Center
Medical / Surgical Beds,69,New York Eye and Ear Infirmary of Mount Sinai
Total Beds,69,New York Eye and Ear Infirmary of Mount Sinai
Coma Recovery Beds,7,NYU Langone Orthopedic Hospital
Medical / Surgical Beds,144,NYU Langone Orthopedic Hospital
Physical Medicine and Rehabilitation Beds,51,NYU Langone Orthopedic Hospital
Traumatic Brain Injury Beds,23,NYU Langone Orthopedic Hospital
Total Beds,225,NYU Langone Orthopedic Hospital
Intensive Care Beds,20,North Central Bronx Hospital
Maternity Beds,26,North Central Bronx Hospital
Medical / Surgical Beds,79,North Central Bronx Hospital
Neonatal Continuing Care Beds,2,North Central Bronx Hospital
Neonatal Intensive Care Beds,7,North Central Bronx Hospital
Neonatal Intermediate Care Beds,3,North Central Bronx Hospital
Pediatric Beds,6,North Central Bronx Hospital
Psychiatric Beds,70,North Central Bronx Hospital
Total Beds,213,North Central Bronx Hospital
Chemical Dependence - Detoxification Beds,20,Bellevue Hospital Center
Coronary Care Beds,12,Bellevue Hospital Center
Intensive Care Beds,40,Bellevue Hospital Center
Maternity Beds,25,Bellevue Hospital Center
Medical / Surgical Beds,290,Bellevue Hospital Center
Neonatal Continuing Care Beds,5,Bellevue Hospital Center
Neonatal Intensive Care Beds,5,Bellevue Hospital Center
Neonatal Intermediate Care Beds,15,Bellevue Hospital Center
Pediatric Beds,22,Bellevue Hospital Center
Pediatric ICU Beds,5,Bellevue Hospital Center
Physical Medicine and Rehabilitation Beds,34,Bellevue Hospital Center
Prisoner Beds,34,Bellevue Hospital Center
Psychiatric Beds,339,Bellevue Hospital Center
Respiratory Beds,54,Bellevue Hospital Center
Traumatic Brain Injury Beds,12,Bellevue Hospital Center
Total Beds,912,Bellevue Hospital Center
AIDS Beds,30,New York-Presbyterian Hospital - New York Weill Cornell Center
